x,y,timestamp,button,state
582,312,1730837729550,NoButton,Move
582,312,1730837729553,NoButton,Move
591,312,1730837729560,NoButton,Move
591,312,1730837729561,NoButton,Move
602,311,1730837729565,NoButton,Move
602,311,1730837729565,NoButton,Move
614,311,1730837729572,NoButton,Move
614,311,1730837729573,NoButton,Move
625,311,1730837729580,NoButton,Move
625,311,1730837729581,NoButton,Move
637,312,1730837729587,NoButton,Move
637,312,1730837729588,NoButton,Move
649,313,1730837729595,NoButton,Move
649,313,1730837729595,NoButton,Move
662,315,1730837729601,NoButton,Move
662,315,1730837729602,NoButton,Move
674,317,1730837729611,NoButton,Move
674,317,1730837729612,NoButton,Move
685,318,1730837729616,NoButton,Move
685,318,1730837729617,NoButton,Move
694,320,1730837729627,NoButton,Move
694,320,1730837729628,NoButton,Move
704,323,1730837729632,NoButton,Move
704,323,1730837729632,NoButton,Move
711,324,1730837729639,NoButton,Move
711,324,1730837729641,NoButton,Move
717,325,1730837729648,NoButton,Move
717,325,1730837729649,NoButton,Move
724,327,1730837729654,NoButton,Move
724,327,1730837729655,NoButton,Move
730,328,1730837729663,NoButton,Move
730,328,1730837729664,NoButton,Move
735,328,1730837729669,NoButton,Move
735,328,1730837729670,NoButton,Move
740,329,1730837729679,NoButton,Move
740,329,1730837729680,NoButton,Move
745,330,1730837729684,NoButton,Move
745,330,1730837729685,NoButton,Move
749,331,1730837729694,NoButton,Move
749,331,1730837729695,NoButton,Move
754,334,1730837729698,NoButton,Move
754,334,1730837729698,NoButton,Move
758,334,1730837729705,NoButton,Move
758,334,1730837729706,NoButton,Move
762,335,1730837729713,NoButton,Move
762,335,1730837729714,NoButton,Move
764,336,1730837729720,NoButton,Move
764,336,1730837729720,NoButton,Move
765,337,1730837729728,NoButton,Move
765,337,1730837729728,NoButton,Move
768,339,1730837729735,NoButton,Move
768,339,1730837729735,NoButton,Move
770,340,1730837729744,NoButton,Move
770,340,1730837729745,NoButton,Move
771,341,1730837729749,NoButton,Move
771,341,1730837729750,NoButton,Move
772,342,1730837729760,NoButton,Move
772,342,1730837729760,NoButton,Move
773,344,1730837729764,NoButton,Move
773,344,1730837729765,NoButton,Move
774,346,1730837729772,NoButton,Move
774,346,1730837729772,NoButton,Move
775,348,1730837729780,NoButton,Move
775,348,1730837729781,NoButton,Move
776,351,1730837729795,NoButton,Move
776,351,1730837729795,NoButton,Move
776,352,1730837729802,NoButton,Move
776,352,1730837729802,NoButton,Move
776,354,1730837729811,NoButton,Move
776,354,1730837729811,NoButton,Move
776,354,1730837729816,NoButton,Move
776,354,1730837729816,NoButton,Move
776,356,1730837729827,NoButton,Move
776,356,1730837729828,NoButton,Move
776,357,1730837729831,NoButton,Move
776,357,1730837729831,NoButton,Move
776,357,1730837729861,NoButton,Move
776,357,1730837729862,NoButton,Move
776,358,1730837730120,0,Pressed
776,358,1730837730121,0,Pressed
776,358,1730837730337,0,Released
776,358,1730837730338,0,Released
